,DepenVar,DepenVarLvel,IndepenVar,IndepenVarLvel,CondProb
0,Road13Avail,0,MaintenanceRate0,0,0.017857142857142856
1,Road13Avail,1,MaintenanceRate0,0,0.39285714285714285
2,Road13Avail,2,MaintenanceRate0,0,0.5892857142857143
3,Road13Avail,3,MaintenanceRate0,0,0.0
0,Road13Avail,0,MaintenanceRate0,1,0.0
1,Road13Avail,1,MaintenanceRate0,1,0.06818181818181818
2,Road13Avail,2,MaintenanceRate0,1,0.5454545454545454
3,Road13Avail,3,MaintenanceRate0,1,0.38636363636363635
0,Road13Avail,0,MaintenanceRate0,2,0.25
1,Road13Avail,1,MaintenanceRate0,2,0.25
2,Road13Avail,2,MaintenanceRate0,2,0.25
3,Road13Avail,3,MaintenanceRate0,2,0.25
0,Road13Costs,0,MaintenanceRate1,0,0.23214285714285715
1,Road13Costs,1,MaintenanceRate1,0,0.26785714285714285
0,Road13Costs,0,MaintenanceRate1,1,0.48863636363636365
1,Road13Costs,1,MaintenanceRate1,1,0.011363636363636364
0,Road13Costs,0,MaintenanceRate1,2,0.5
1,Road13Costs,1,MaintenanceRate1,2,0.5
0,Road40Avail,0,MaintenanceRate0,0,0.96
1,Road40Avail,1,MaintenanceRate0,0,0.04
0,Road40Avail,0,MaintenanceRate0,1,0.5833333333333334
1,Road40Avail,1,MaintenanceRate0,1,0.4166666666666667
0,Road40Avail,0,MaintenanceRate0,2,0.7619047619047619
1,Road40Avail,1,MaintenanceRate0,2,0.23809523809523808
0,Road40Costs,0,MaintenanceRate1,0,0.12
1,Road40Costs,1,MaintenanceRate1,0,0.36
2,Road40Costs,2,MaintenanceRate1,0,0.02
0,Road40Costs,0,MaintenanceRate1,1,0.375
1,Road40Costs,1,MaintenanceRate1,1,0.125
2,Road40Costs,2,MaintenanceRate1,1,0.0
0,Road40Costs,0,MaintenanceRate1,2,0.23015873015873015
1,Road40Costs,1,MaintenanceRate1,2,0.2619047619047619
2,Road40Costs,2,MaintenanceRate1,2,0.007936507936507936
0,Road22Avail,0,MaintenanceRate0,0,0.015873015873015872
1,Road22Avail,1,MaintenanceRate0,0,0.31746031746031744
2,Road22Avail,2,MaintenanceRate0,0,0.6349206349206349
3,Road22Avail,3,MaintenanceRate0,0,0.031746031746031744
0,Road22Avail,0,MaintenanceRate0,1,0.0
1,Road22Avail,1,MaintenanceRate0,1,0.02702702702702703
2,Road22Avail,2,MaintenanceRate0,1,0.4594594594594595
3,Road22Avail,3,MaintenanceRate0,1,0.5135135135135135
0,Road22Avail,0,MaintenanceRate0,2,0.25
1,Road22Avail,1,MaintenanceRate0,2,0.25
2,Road22Avail,2,MaintenanceRate0,2,0.25
3,Road22Avail,3,MaintenanceRate0,2,0.25
0,Road22Costs,0,MaintenanceRate1,0,0.14285714285714285
1,Road22Costs,1,MaintenanceRate1,0,0.35714285714285715
0,Road22Costs,0,MaintenanceRate1,1,0.40540540540540543
1,Road22Costs,1,MaintenanceRate1,1,0.0945945945945946
0,Road22Costs,0,MaintenanceRate1,2,0.5
1,Road22Costs,1,MaintenanceRate1,2,0.5
0,Road24Avail,0,MaintenanceRate0,0,0.025
1,Road24Avail,1,MaintenanceRate0,0,0.25
2,Road24Avail,2,MaintenanceRate0,0,0.65
3,Road24Avail,3,MaintenanceRate0,0,0.075
0,Road24Avail,0,MaintenanceRate0,1,0.0
1,Road24Avail,1,MaintenanceRate0,1,0.0
2,Road24Avail,2,MaintenanceRate0,1,0.14285714285714285
3,Road24Avail,3,MaintenanceRate0,1,0.8571428571428571
0,Road24Avail,0,MaintenanceRate0,2,0.021739130434782608
1,Road24Avail,1,MaintenanceRate0,2,0.021739130434782608
2,Road24Avail,2,MaintenanceRate0,2,0.5869565217391305
3,Road24Avail,3,MaintenanceRate0,2,0.3695652173913043
0,Road24Costs,0,MaintenanceRate1,0,0.125
1,Road24Costs,1,MaintenanceRate1,0,0.375
2,Road24Costs,2,MaintenanceRate1,0,0.0
0,Road24Costs,0,MaintenanceRate1,1,0.42857142857142855
1,Road24Costs,1,MaintenanceRate1,1,0.07142857142857142
2,Road24Costs,2,MaintenanceRate1,1,0.0
0,Road24Costs,0,MaintenanceRate1,2,0.29347826086956524
1,Road24Costs,1,MaintenanceRate1,2,0.18478260869565216
2,Road24Costs,2,MaintenanceRate1,2,0.021739130434782608
0,Road37Avail,0,MaintenanceRate0,0,0.037037037037037035
1,Road37Avail,1,MaintenanceRate0,0,0.3333333333333333
2,Road37Avail,2,MaintenanceRate0,0,0.5925925925925926
3,Road37Avail,3,MaintenanceRate0,0,0.037037037037037035
0,Road37Avail,0,MaintenanceRate0,1,0.021739130434782608
1,Road37Avail,1,MaintenanceRate0,1,0.0
2,Road37Avail,2,MaintenanceRate0,1,0.5434782608695652
3,Road37Avail,3,MaintenanceRate0,1,0.43478260869565216
0,Road37Avail,0,MaintenanceRate0,2,0.25
1,Road37Avail,1,MaintenanceRate0,2,0.25
2,Road37Avail,2,MaintenanceRate0,2,0.25
3,Road37Avail,3,MaintenanceRate0,2,0.25
0,Road37Costs,0,MaintenanceRate1,0,0.12962962962962962
1,Road37Costs,1,MaintenanceRate1,0,0.0
2,Road37Costs,2,MaintenanceRate1,0,0.37037037037037035
0,Road37Costs,0,MaintenanceRate1,1,0.40217391304347827
1,Road37Costs,1,MaintenanceRate1,1,0.010869565217391304
2,Road37Costs,2,MaintenanceRate1,1,0.08695652173913043
0,Road37Costs,0,MaintenanceRate1,2,0.3333333333333333
1,Road37Costs,1,MaintenanceRate1,2,0.3333333333333333
2,Road37Costs,2,MaintenanceRate1,2,0.3333333333333333
0,Road49Avail,0,MaintenanceRate0,0,0.07317073170731707
1,Road49Avail,1,MaintenanceRate0,0,0.43902439024390244
2,Road49Avail,2,MaintenanceRate0,0,0.4634146341463415
3,Road49Avail,3,MaintenanceRate0,0,0.024390243902439025
0,Road49Avail,0,MaintenanceRate0,1,0.0
1,Road49Avail,1,MaintenanceRate0,1,0.0
2,Road49Avail,2,MaintenanceRate0,1,0.3333333333333333
3,Road49Avail,3,MaintenanceRate0,1,0.6666666666666666
0,Road49Avail,0,MaintenanceRate0,2,0.0
1,Road49Avail,1,MaintenanceRate0,2,0.18181818181818182
2,Road49Avail,2,MaintenanceRate0,2,0.4772727272727273
3,Road49Avail,3,MaintenanceRate0,2,0.3409090909090909
0,Road49Costs,0,MaintenanceRate1,0,0.17073170731707318
1,Road49Costs,1,MaintenanceRate1,0,0.32926829268292684
0,Road49Costs,0,MaintenanceRate1,1,0.36666666666666664
1,Road49Costs,1,MaintenanceRate1,1,0.13333333333333333
0,Road49Costs,0,MaintenanceRate1,2,0.2840909090909091
1,Road49Costs,1,MaintenanceRate1,2,0.2159090909090909
0,Road50Avail,0,MaintenanceRate0,0,0.01639344262295082
1,Road50Avail,1,MaintenanceRate0,0,0.26229508196721313
2,Road50Avail,2,MaintenanceRate0,0,0.7213114754098361
3,Road50Avail,3,MaintenanceRate0,0,0.0
0,Road50Avail,0,MaintenanceRate0,1,0.0
1,Road50Avail,1,MaintenanceRate0,1,0.02564102564102564
2,Road50Avail,2,MaintenanceRate0,1,0.7692307692307693
3,Road50Avail,3,MaintenanceRate0,1,0.20512820512820512
0,Road50Avail,0,MaintenanceRate0,2,0.25
1,Road50Avail,1,MaintenanceRate0,2,0.25
2,Road50Avail,2,MaintenanceRate0,2,0.25
3,Road50Avail,3,MaintenanceRate0,2,0.25
0,Road50Costs,0,MaintenanceRate1,0,0.20491803278688525
1,Road50Costs,1,MaintenanceRate1,0,0.2786885245901639
2,Road50Costs,2,MaintenanceRate1,0,0.01639344262295082
0,Road50Costs,0,MaintenanceRate1,1,0.4230769230769231
1,Road50Costs,1,MaintenanceRate1,1,0.07692307692307693
2,Road50Costs,2,MaintenanceRate1,1,0.0
0,Road50Costs,0,MaintenanceRate1,2,0.3333333333333333
1,Road50Costs,1,MaintenanceRate1,2,0.3333333333333333
2,Road50Costs,2,MaintenanceRate1,2,0.3333333333333333
0,Road57Avail,0,MaintenanceRate0,0,0.041666666666666664
1,Road57Avail,1,MaintenanceRate0,0,0.25
2,Road57Avail,2,MaintenanceRate0,0,0.7083333333333334
3,Road57Avail,3,MaintenanceRate0,0,0.0
0,Road57Avail,0,MaintenanceRate0,1,0.0
1,Road57Avail,1,MaintenanceRate0,1,0.0
2,Road57Avail,2,MaintenanceRate0,1,0.16666666666666666
3,Road57Avail,3,MaintenanceRate0,1,0.8333333333333334
0,Road57Avail,0,MaintenanceRate0,2,0.014285714285714285
1,Road57Avail,1,MaintenanceRate0,2,0.17142857142857143
2,Road57Avail,2,MaintenanceRate0,2,0.6
3,Road57Avail,3,MaintenanceRate0,2,0.21428571428571427
0,Road57Costs,0,MaintenanceRate1,0,0.2708333333333333
1,Road57Costs,1,MaintenanceRate1,0,0.22916666666666666
0,Road57Costs,0,MaintenanceRate1,1,0.5
1,Road57Costs,1,MaintenanceRate1,1,0.0
0,Road57Costs,0,MaintenanceRate1,2,0.2785714285714286
1,Road57Costs,1,MaintenanceRate1,2,0.22142857142857142
0,Road43Avail,0,MaintenanceRate0,0,0.0
1,Road43Avail,1,MaintenanceRate0,0,0.21739130434782608
2,Road43Avail,2,MaintenanceRate0,0,0.782608695652174
3,Road43Avail,3,MaintenanceRate0,0,0.0
0,Road43Avail,0,MaintenanceRate0,1,0.0
1,Road43Avail,1,MaintenanceRate0,1,0.0
2,Road43Avail,2,MaintenanceRate0,1,0.7142857142857143
3,Road43Avail,3,MaintenanceRate0,1,0.2857142857142857
0,Road43Avail,0,MaintenanceRate0,2,0.014285714285714285
1,Road43Avail,1,MaintenanceRate0,2,0.08571428571428572
2,Road43Avail,2,MaintenanceRate0,2,0.8571428571428571
3,Road43Avail,3,MaintenanceRate0,2,0.04285714285714286
0,Road43Costs,0,MaintenanceRate1,0,0.10869565217391304
1,Road43Costs,1,MaintenanceRate1,0,0.021739130434782608
2,Road43Costs,2,MaintenanceRate1,0,0.3695652173913043
0,Road43Costs,0,MaintenanceRate1,1,0.42857142857142855
1,Road43Costs,1,MaintenanceRate1,1,0.0
2,Road43Costs,2,MaintenanceRate1,1,0.07142857142857142
0,Road43Costs,0,MaintenanceRate1,2,0.3
