,subnetwork,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,1,0,100.57605945266135,2268.028471441855,"97.55433540665133, 102.96995703388734",2.0,,
0,1,1,100.4001320260304,1606.8644779626586,"97.55433540665133, 102.96995703388734",2.0,,
0,1,2,103.62815239814962,4838.813924242658,"102.96995703388734, 108.38557866112336",0.0,,
0,1,3,101.49971203819463,5554.489251181787,"97.55433540665133, 102.96995703388734",2.0,,
0,1,4,100.49096882611566,1801.0313747118437,"97.55433540665133, 102.96995703388734",2.0,,
0,1,5,116.97807790538376,2415.901879854569,"113.80120028835938, 121.21682191559539",1.0,,
0,1,6,104.2296833678902,2727.8651803825687,"102.96995703388734, 108.38557866112336",0.0,,
0,1,7,99.88999342535584,4512.817130314843,"97.55433540665133, 102.96995703388734",2.0,,
0,1,8,100.74320491063959,2219.270072666994,"97.55433540665133, 102.96995703388734",2.0,,
0,1,9,99.87744425125328,1551.9139826987682,"97.55433540665133, 102.96995703388734",2.0,,
0,1,10,103.13455418592189,3145.95793028458,"102.96995703388734, 108.38557866112336",0.0,,
0,1,11,104.04351794566269,2265.465594802097,"102.96995703388734, 108.38557866112336",0.0,,
0,1,12,103.91820884754475,1369.5714584130903,"102.96995703388734, 108.38557866112336",0.0,,
0,1,13,103.44641574353068,3584.9533763467116,"102.96995703388734, 108.38557866112336",0.0,,
0,1,14,102.68553046034768,2938.546782881247,"97.55433540665133, 102.96995703388734",2.0,,
0,1,15,105.54419965110836,3028.7610198699554,"102.96995703388734, 108.38557866112336",0.0,,
0,1,16,101.16958564996824,1848.6635354220227,"97.55433540665133, 102.96995703388734",2.0,,
0,1,17,101.24694070967962,2741.1399513956126,"97.55433540665133, 102.96995703388734",2.0,,
0,1,18,100.15981755631421,3805.0023615465925,"97.55433540665133, 102.96995703388734",2.0,,
0,1,19,103.07630052753223,3583.236887155237,"102.96995703388734, 108.38557866112336",0.0,,
0,1,20,100.10187096982297,2771.387822878259,"97.55433540665133, 102.96995703388734",2.0,,
0,1,21,101.96871299475558,3656.9109999346106,"97.55433540665133, 102.96995703388734",2.0,,
0,1,22,100.36995475199309,2224.0215583149356,"97.55433540665133, 102.96995703388734",2.0,,
0,1,23,100.9941387358583,3066.1927089594537,"97.55433540665133, 102.96995703388734",2.0,,
0,1,24,100.39383844590822,3210.7835979168503,"97.55433540665133, 102.96995703388734",2.0,,
0,1,25,105.70417987548983,3081.4872262638314,"102.96995703388734, 108.38557866112336",0.0,,
0,1,26,104.95913007325112,2103.651195019605,"102.96995703388734, 108.38557866112336",0.0,,
0,1,27,104.77371683532087,3080.0300051988347,"102.96995703388734, 108.38557866112336",0.0,,
0,1,28,100.29959669264369,3308.9642869800587,"97.55433540665133, 102.96995703388734",2.0,,
