,sample_run,TravelTime,TotalCost
0,0,1.0,18396.714384064704
0,1,1.0,16710.717026589387
0,2,1.0,13059.553459313769
0,3,1.0,18405.436525919216
0,4,1.0,18783.29186356084
0,5,1.0,19244.03494229995
0,6,1.0,17924.86495395511
0,7,1.0,17141.458696136637
0,8,1.0,17500.89802861412
0,9,1.0,15580.835059172767
0,10,1.0,17436.181438520798
0,11,1.0,18540.042059521304
0,12,1.0,14911.834317396935
0,13,1.0,19147.6129492531
0,14,1.0,16094.529729111668
0,15,1.0,15336.679405130026
0,16,1.0,19368.4345126115
0,17,1.0,13291.337697532745
0,18,1.0,13766.072082509865
0,19,1.0,20421.51973630534
0,20,1.0,12730.448735650303
0,21,1.0,16480.40615865521
0,22,1.0,18617.513027168006
0,23,1.0,18010.07908676357
0,24,1.0,18042.64144588463
0,25,1.0,15089.072340657962
0,26,1.0,18242.089830747733
0,27,1.0,14885.785919163985
0,28,1.0,10897.958283812615
0,29,1.0,18809.85444708812
0,30,1.0,18638.142839353513
0,31,1.0,22207.768635090586
0,32,1.0,19903.060134026055
0,33,1.0,17610.591637822636
0,34,1.0,18837.780439210143
0,35,1.0,19684.152282604427
0,36,1.0,16778.190569278857
0,37,1.0,17687.384663875586
0,38,1.0,9149.778051276973
0,39,1.0,22005.6344545664
0,40,1.0,19088.824277741824
0,41,1.0,14740.099385843416
0,42,1.0,11092.329804603278
0,43,1.0,19000.236937777045
0,44,1.0,21518.798949039196
0,45,1.0,19650.057747474828
0,46,1.0,17215.325415030653
0,47,1.0,18078.95731618301
0,48,1.0,15842.891429105735
0,49,1.0,17150.693869642997
0,50,1.0,19274.700361304804
0,51,1.0,19472.046535207646
0,52,1.0,18612.50067326075
0,53,1.0,15536.295649658752
0,54,1.0,18052.862922148874
0,55,1.0,14631.227903105842
0,56,1.0,19864.866500208012
0,57,1.0,16931.640716678645
0,58,1.0,19723.314973300625
0,59,1.0,15481.454586404778
