,subnetwork,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,1,0,103.8252239681933,3541.0947794363437,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,1,102.226255098057,2667.7556138221926,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,2,103.59382797344334,2403.510222375613,"97.10520745633058, 108.4444462415369",3.0,"0.0, 2494.387816759093",0.0
0,1,3,100.65893855528606,3848.5856000634462,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,4,101.59488912857029,5313.7817925986,"97.10520745633058, 108.4444462415369",3.0,"4988.775633518186, 7483.163450277279",2.0
0,1,5,139.65932502428478,2128.138001653724,"131.12292381194953, 144.46216259715587",2.0,"0.0, 2494.387816759093",0.0
0,1,6,102.90151195869998,3248.032309641132,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,7,101.1452184526213,4520.246887354665,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,8,103.31044122353067,3575.331312696872,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,9,114.26829815019823,3064.7512238518702,"108.4444462415369, 119.78368502674323",0.0,"2494.387816759093, 4988.775633518186",1.0
0,1,10,104.4576145680574,3211.15211418642,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,11,100.8308707743827,3640.4217459011297,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,12,102.25049570082628,4181.040719519376,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,13,99.90804502920167,3817.711666903659,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,14,105.14144189864483,6521.795388706622,"97.10520745633058, 108.4444462415369",3.0,"4988.775633518186, 7483.163450277279",2.0
0,1,15,100.91532728408959,3517.1917801176355,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,16,102.55816290365414,3701.0916105021165,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,17,101.26752181522804,4349.993342742003,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,18,100.807818876569,3125.099260400819,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,19,100.25909586132491,3689.9322789081966,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,20,101.04020606103428,3502.5580614546166,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,21,105.83420036802335,4034.8435545136363,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,22,103.53503128002107,3353.61470743384,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
