,subnetwork,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,1,0,103.09418462057073,4095.397005158272,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,1,101.92861260185903,1843.8788483072042,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,2,101.6580974352656,3978.9272766881204,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,3,103.68966578059043,3836.2178734584004,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,4,101.86643354390742,4699.116559231254,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,5,100.87524058666729,2968.449981250255,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,6,104.52610605763537,3229.936960511354,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,7,101.20252757080702,3218.9464372982648,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,8,100.58074887851267,5252.895849363516,"77.32703659730274, 103.10271546307031",3.0,"5238.791702007985, 6985.055602677313",3.0
0,1,9,101.694238423867,3166.762995385507,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,10,103.06991506422443,4785.398837997938,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,11,100.76074825410745,1804.354167325245,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,12,102.15932454964451,4624.849945338439,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,13,102.82192177892698,3533.750214862817,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,14,100.67434183460776,3096.8518956877874,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,15,103.4714906794588,2738.7177335244314,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,16,101.33814611300355,3359.6577314967785,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,17,102.58222436256509,3635.7250273172867,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,18,101.75017123710543,2368.9109747715634,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,19,100.3683143536172,3121.995274246241,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,20,103.31402645304684,6286.8346158830955,"103.10271546307031, 128.87839432883789",1.0,"5238.791702007985, 6985.055602677313",3.0
0,1,21,100.28603030396681,5212.9292760011085,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,22,102.76596252532244,4111.813060683086,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,23,104.93561175010636,4275.443273101644,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,24,99.9413636786592,5473.009728386429,"77.32703659730274, 103.10271546307031",3.0,"5238.791702007985, 6985.055602677313",3.0
0,1,25,100.99916661802528,3189.8505270376663,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,26,102.44121686292128,3936.263056590379,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,27,100.25315994905189,4284.477365083813,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,28,101.72076824333364,1824.5810220243434,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,29,100.35535381371866,2567.4216887019084,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,30,100.88132314864927,3960.961530698459,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,31,101.07401632154901,3616.6881211133855,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,32,104.36823682740487,2674.1584699830933,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,33,102.24950723691087,4978.8462353749055,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,34,100.82613990316138,2521.493670967113,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,35,100.3718755520163,1953.7285134717208,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,36,100.88073323954153,6610.025966619392,"77.32703659730274, 103.10271546307031",3.0,"5238.791702007985, 6985.055602677313",3.0
0,1,37,100.1671206893597,4608.525919713192,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,38,99.89059995167547,3219.1745836023115,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,39,99.89701211374548,3050.608570378939,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,40,100.82190202195322,4699.116559231254,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,41,102.12920527421255,2645.8624643857174,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,42,103.39870943842595,4863.032934259096,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,43,101.87867059134197,5054.616894983244,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,44,100.11261971821409,2506.6679317999933,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,45,103.58003920113784,3352.4977669819787,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,46,102.58222436256509,2892.14723817256,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,47,100.0045890433506,4278.005182163712,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,48,101.80223053523031,2625.586922851791,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,49,104.39733320226517,3173.317474620017,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,50,105.8889192263559,3817.9049978805865,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,51,101.26954483685522,3095.9742336048034,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,52,101.40605730394573,4258.283240168473,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,53,100.44416384163182,2333.626727947109,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,54,100.8243004329077,4550.548412273841,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,55,100.3447336855074,2507.3953305205823,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,56,105.02811840174994,2704.797022212823,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,57,100.67591926900447,4016.148879252358,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,58,99.82464466270329,3487.1902823562846,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,59,100.98804476950532,5376.803549418483,"77.32703659730274, 103.10271546307031",3.0,"5238.791702007985, 6985.055602677313",3.0
0,1,60,100.35853661218121,2506.6679317999933,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,61,101.62569156602001,3121.995274246241,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
