,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,0,893.4780177580735,20046.192349840032,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,1,896.7387378610713,16475.81802223283,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,2,960.9485496924815,20189.86261545142,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,3,905.4234831411693,19210.325192836233,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,4,904.3774466582909,15058.85288273167,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,5,902.728130753742,18944.567321333947,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,6,884.1091609412626,17332.91136034242,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,7,901.5998404567113,14251.156499612893,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,8,889.0586208546947,19348.6650532055,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,9,899.2442725312849,19616.081788717678,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,10,904.4747455301824,21118.1367754509,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,11,891.760789089383,14236.376526385195,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,12,899.9327878545998,22807.777722878665,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,13,898.9924666999896,16205.738670360453,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,14,910.6156413503784,17114.554581811866,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,15,899.2363679857312,17163.80343165008,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,16,893.2824989445071,15801.702429084038,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,17,907.1931134031902,19387.565858431528,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,18,901.6520017042292,17374.860252289724,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,19,882.5181544965183,17385.991696240973,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
